parameter,log_loss_train,log_loss_validation
0.005,0.012782124848874069,0.017303443641787368
0.0055,0.01221479042288436,0.017196667143829333
0.006,0.011690141932791944,0.017108322801427718
0.0065,0.011195373723464996,0.017015981122547805
0.007,0.010722529035615715,0.016941310909027785
0.0075,0.010287898256574186,0.016871202408351074
0.008,0.009878139137861203,0.016808323477596858
0.0085,0.009485769890970774,0.0167518061205872
0.009,0.009119633893950796,0.016704790606753818
0.0095,0.008779320916556414,0.016656251044351884
0.01,0.008446694841068941,0.016613369109361727
0.0105,0.008134578777511484,0.016573100365969224
0.011,0.007839279244757448,0.016548649780562703
0.0115,0.007557483770361215,0.016517605068721845
0.012,0.0072922914503101175,0.016496628038147096
0.0125,0.007034502125132302,0.016478451089927286
0.013,0.006780200818781329,0.01645752076782765
0.0135,0.006551082007254077,0.016438227469506496
0.014,0.006328319552402711,0.016438154562334575
0.0145,0.006112340402475565,0.016421062153838942
0.015,0.005905803031480826,0.016419157439688813
0.0155,0.005716185877053316,0.016414621714758836
0.016,0.0055252981427991845,0.01640857631051917
0.0165,0.005342436479838193,0.016399318181268926
0.017,0.005168931342207087,0.016406241622390294
0.0175,0.005002692993610967,0.01641404503999574
0.018,0.004837990921747373,0.01642317804316504
0.0185,0.004687689289030942,0.016430706362585944
0.019,0.004537818613732846,0.01644740599485701
0.0195,0.004398710134354637,0.016456112849455053
0.02,0.0042582410969275826,0.01648887655793304
0.0205,0.004122550131517126,0.016480355076420275
0.021,0.0040017852535567805,0.01650640075381489
0.0215,0.0038787158733892425,0.016521278588544144
0.022,0.0037556022404122945,0.01652224225535813
0.0225,0.0036350683964553967,0.016562741940737494
0.023,0.0035302692175295278,0.01659228106002741
0.0235,0.003421528862721372,0.016592416209236276
0.024,0.003319641427696549,0.01662235388885256
0.0245,0.003214699093585676,0.016647104611641737
0.025,0.003119448517827898,0.016701315856015253
0.0255,0.0030265299302307184,0.01672381661679092
0.026,0.00293890693817443,0.016745693282736382
0.0265,0.002850993566162567,0.01679028125768428
0.027,0.00276357834338305,0.016819554448804827
0.0275,0.002685832815301761,0.016860760816928944
0.028,0.0026064755536806474,0.016875358223454633
0.0285,0.002532150296053976,0.016911705449640047
0.029,0.0024587714037904054,0.016953241261520483
0.0295,0.0023850043736708777,0.01700278387567486
0.03,0.0023189208106865248,0.017056146785059255
0.0305,0.002252964051904158,0.017084524285258647
0.031,0.0021884176877481325,0.01713302661975335
