parameter,log_loss_train,log_loss_validation
2.0,0.017460600338900317,0.017224406441430716
3.0,0.014691204073978082,0.016427411496014132
4.0,0.01283254413900014,0.016262319679263608
5.0,0.011472799363492669,0.016222790482835075
6.0,0.010467449213865521,0.016207919870898813
7.0,0.00967476461412709,0.016191912104900112
8.0,0.009038144902569727,0.016220459433116462
9.0,0.00852062230909883,0.016237641928157555
10.0,0.008085651969948744,0.016255397084078423
11.0,0.007715548878195615,0.016273498889232425
12.0,0.007401672675017448,0.016285121226848075
13.0,0.007137934556643072,0.016307132943843814
14.0,0.006906124890025227,0.016320643664798153
15.0,0.006707304212193584,0.016335916982282695
