parameter,log_loss_train,log_loss_validation
2.0,0.014139047216545119,0.01637079617698118
3.0,0.01141818162471387,0.01621180895376241
4.0,0.010230661779462628,0.016189950045847855
5.0,0.00979579221369385,0.016200780778568197
6.0,0.00967476461412709,0.016191912104900112
7.0,0.00967476461412709,0.016191912104900112
8.0,0.00967476461412709,0.016191912104900112
9.0,0.00967476461412709,0.016191912104900112
10.0,0.00967476461412709,0.016191912104900112
11.0,0.00967476461412709,0.016191912104900112
12.0,0.00967476461412709,0.016191912104900112
13.0,0.00967476461412709,0.016191912104900112
14.0,0.00967476461412709,0.016191912104900112
15.0,0.00967476461412709,0.016191912104900112
