parameter,log_loss_train,log_loss_validation
25.0,0.008808268989685874,0.01629544214639546
50.0,0.008976624136303344,0.016238811623317657
75.0,0.009127826408259014,0.016241056830078537
100.0,0.00924724916693202,0.016221334551125188
125.0,0.009362781785908408,0.01619717740017523
150.0,0.009472583153004015,0.016204006483812382
175.0,0.009566788515460606,0.01621706199475351
200.0,0.00967476461412709,0.016191912104900112
225.0,0.009760987226792604,0.01622198517289604
250.0,0.009856144099135655,0.016222626901106443
275.0,0.009945465955551578,0.016209296044924618
300.0,0.0100433121513114,0.01622482628185685
325.0,0.010116838392155311,0.016213523892505636
350.0,0.010203683734402062,0.016231235583219553
375.0,0.010280047467488543,0.016233839974512203
400.0,0.01037853859713162,0.016229488303759584
425.0,0.01046269823131116,0.016242178293426526
450.0,0.010542538599785836,0.016249293768025724
475.0,0.010634171340477968,0.01625440305647741
500.0,0.010715296826162908,0.016273720299699482
525.0,0.010787415651099497,0.016281644026910434
550.0,0.010878636725120999,0.01630644574653602
575.0,0.010954515236994578,0.016325996501036492
600.0,0.011049477455639771,0.016334821888207802
625.0,0.011127778486311109,0.016340001424755324
650.0,0.011215332941846368,0.01635583495352588
675.0,0.011310865930565888,0.016388145295421867
700.0,0.011394137292077937,0.01639129258422376
725.0,0.0114842013212656,0.016406739453788982
750.0,0.011582364361378602,0.0164233121059625
775.0,0.011665005640992036,0.01643314302791737
800.0,0.01175174342507505,0.016442999206071163
825.0,0.01184660993124016,0.016458271386630002
850.0,0.011936006265432033,0.01647735006078774
875.0,0.012028136247336866,0.016489561790102632
900.0,0.01211499943171025,0.016506818344490855
925.0,0.012202961705190491,0.016532267931218012
950.0,0.012278184090234866,0.01653663014789858
975.0,0.012362524720889369,0.016548060699101287
1000.0,0.01244623596037133,0.01656388341086187
