parameter,log_loss_train,log_loss_validation
5.0,0.01131611656999545,0.01935694270846848
6.0,0.010180289246966278,0.019429729860415596
7.0,0.009314244468625641,0.019480892620144026
8.0,0.008631701222110353,0.01953185279875611
9.0,0.008087594922576321,0.0195858534379401
10.0,0.007636639693228295,0.019643771761657693
11.0,0.007278039934319497,0.019682042496809885
12.0,0.006985319712792616,0.019710092988261717
13.0,0.006740982316834613,0.01971491782841303
14.0,0.006538710112390095,0.01974937353467732
15.0,0.006372568590274534,0.019749802885616122
