parameter,log_loss_train,log_loss_validation
5.0,0.01021167828896007,0.01600861107805551
6.0,0.009160329252095912,0.016020197221150057
7.0,0.008367120824965907,0.016055235046919906
8.0,0.0077531585103781065,0.016057609245279117
9.0,0.007259877673614601,0.016093855499272402
10.0,0.006872294049615705,0.0161135822443939
11.0,0.0065538804051672285,0.016151819784206215
12.0,0.006296830509388018,0.016164775201044985
13.0,0.0061000253581897255,0.01619071083653947
14.0,0.005932787631200636,0.01619031012582932
15.0,0.005793458733467621,0.016194907665889744
