parameter_index,parameter,log_loss_train,log_loss_validation
0,KMeans_g_var_20,0.013676261913756465,0.015434695914573918
1,MiniBatchKMeans_g_var_20,0.013785331924338914,0.015432261368468704
2,KMeans_c_var_10,0.013768347454289008,0.01540400614853388
3,MiniBatchKMeans_c_var_10,0.01361363529246077,0.015475139743793876
4,Birch_c_var_15,0.013714118544358254,0.015426600085799233
5,MiniBatchKMeans_c_var_15,0.013735462493172236,0.015468592847919788
6,KMeans_c_var_25,0.01364098989379746,0.015440708053236848
7,MiniBatchKMeans_c_var_25,0.013681637597446372,0.015429919116597997
8,Birch_c_var_30,0.013597858912959187,0.015397841425039614
9,KMeans_c_var_30,0.013718159233689343,0.015440475025717805
10,MeanShift_all_var,0.01343388144872333,0.015435969034840223
