parameter_index,parameter,log_loss_train,log_loss_validation
0.0,0.2,0.015314418055282187,0.015767101283257742
1.0,0.3,0.014927502029492338,0.015651686878201215
2.0,0.4,0.01483878942680055,0.01567486150043957
3.0,0.5,0.0146094821872544,0.01558405339085577
4.0,0.6,0.014611315277516843,0.015669123729865713
5.0,0.7,0.014386751453184852,0.01564367993639969
6.0,0.8,0.014336387860216135,0.015647204477848297
7.0,0.9,0.014320724454814027,0.015622599095829044
8.0,1.0,0.014323431386071804,0.015677810801442846
9.0,1.1,0.014282012120237766,0.01569857378515888
10.0,1.2,0.014199143034888805,0.015657205416671725
