parameter_index,parameter,log_loss_train,log_loss_validation
0.0,0.0,0.014098957139150086,0.015522463294748249
1.0,1.0,0.015377807923984823,0.015624832780181038
2.0,2.0,0.014126742922397486,0.015492987698487995
3.0,3.0,0.013961237018929656,0.015506590058129939
4.0,4.0,0.013983997104454067,0.015504895013959434
5.0,5.0,0.01321620558686976,0.015569165947054042
6.0,6.0,0.014020087395793437,0.015535438264371385
7.0,7.0,0.013924826738634809,0.01548874022374667
8.0,8.0,0.016546419957464028,0.015994744299394008
9.0,9.0,0.01506100967617085,0.01559406851504584
10.0,10.0,0.022222024344698235,0.02023999020331234
11.0,11.0,0.013962616476675311,0.015500273126329072
12.0,12.0,0.014167489933947062,0.015541744355783042
13.0,13.0,0.01765579323669996,0.01650101111070867
14.0,14.0,0.006863680299999707,0.018134947892311383
15.0,15.0,0.014308586910083573,0.015498431472892127
16.0,16.0,0.014131369709636417,0.015520558534367205
