parameter_index,parameter,log_loss_train,log_loss_validation
0.0,0.2,0.014978758426617542,0.01566811635550121
1.0,0.3,0.01492761347858478,0.01567912716771689
2.0,0.4,0.014801492806224722,0.01555553384803858
3.0,0.5,0.014874615320610943,0.0156417398871313
4.0,0.6,0.014768118138310847,0.015661010264982046
5.0,0.7,0.014670147748716686,0.015678965037355275
6.0,0.8,0.014669803144421154,0.015665747851044937
7.0,0.9,0.014587969106505953,0.01570442512221352
8.0,1.0,0.014471446450994966,0.01562553690136254
9.0,1.1,0.014445953613262896,0.015617519120923767
10.0,1.2,0.014368789256538273,0.01563726039179446
11.0,1.3,0.014426834821663462,0.015621807244949347
12.0,1.4,0.01421767872644369,0.01567470770437484
13.0,1.5,0.014305381100296909,0.015654248708289954
14.0,1.6,0.014268588363422331,0.015622596550154143
15.0,1.7,0.014148651332931961,0.01564787025943795
16.0,1.8,0.014403939751559772,0.015658768810556542
17.0,1.9,0.01410831932532625,0.015611513274543203
18.0,2.0,0.013931583147437622,0.01564016367838435
