parameter_index,parameter,log_loss_train,log_loss_validation
0.0,26.0,0.01115408197738468,0.01582076312345402
1.0,52.0,0.01446275315511418,0.01600059221682771
2.0,78.0,0.015959475207637613,0.016503986107851164
3.0,104.0,0.016943020897337197,0.01698762615127665
4.0,130.0,0.017686636811885207,0.017437780900884246
5.0,156.0,0.018360326997919653,0.017903047948372195
6.0,182.0,0.01902426471330967,0.018350202741956964
7.0,208.0,0.01945098951777825,0.01869832709414602
8.0,234.0,0.01995989838193385,0.019078834540445917
9.0,260.0,0.02036713594394026,0.019396860363908967
