parameter_index,parameter,log_loss_train,log_loss_validation
0.0,0.2,0.014969034478290118,0.01569147740052572
1.0,0.3,0.014971835379443953,0.015659971987440156
2.0,0.4,0.01494000829151179,0.015708314815103153
3.0,0.5,0.01491095846786341,0.015662190409260594
4.0,0.6,0.014736428822355888,0.01565049241121137
5.0,0.7,0.014645031335953629,0.015634470651845908
6.0,0.8,0.014644845307667237,0.015672695667049832
7.0,0.9,0.01469851224395731,0.015620715617768987
8.0,1.0,0.014844184505131346,0.015645170703767378
9.0,1.1,0.01457331126301231,0.015619782133925468
10.0,1.2,0.014585130324156887,0.015604789491959457
11.0,1.3,0.014563774516105485,0.015583635393627254
12.0,1.4,0.014386992620910276,0.015626010101345338
13.0,1.5,0.014468206542431403,0.015613243702958276
14.0,1.6,0.014157656005586078,0.015619393461884156
15.0,1.7,0.014422373379992833,0.01563034377419405
16.0,1.8,0.014367071146105944,0.015608718119268623
17.0,1.9,0.014296563022005989,0.015628216148295127
18.0,2.0,0.014251208224806716,0.015589696351832705
