parameter_index,parameter,log_loss_train,log_loss_validation
0.0,0.0,0.014035333632435415,0.015554463647657196
1.0,1.0,0.017088984094545425,0.016185227816592606
2.0,2.0,0.014034148282149802,0.015534232445763865
3.0,3.0,0.014503706016085706,0.015529768792344596
4.0,4.0,0.013702390914740575,0.015520238068405787
5.0,5.0,0.01337464926911834,0.015527289093545055
6.0,6.0,0.013627248054770754,0.015579431599560866
7.0,7.0,0.01361851748148834,0.015552246161804633
8.0,8.0,0.019580697826014588,0.018047884441574732
9.0,9.0,0.012868772369272537,0.015819254814835617
10.0,10.0,0.024470351099605613,0.0223060304006235
11.0,11.0,0.013698030850040321,0.015543736043046196
12.0,12.0,,0.015583035036072198
13.0,13.0,0.01963473871861456,0.018100946375735817
14.0,14.0,,
15.0,15.0,0.013670352686066166,0.015607550202227169
16.0,16.0,0.013468871700647022,0.015622737354517741
