parameter_index,parameter,log_loss_train,log_loss_validation
0.0,0.0,0.01509866151103085,0.01566275466379154
1.0,1.0,0.015805593371156126,0.015822789926289712
2.0,2.0,0.015310888672820896,0.01569821365934393
3.0,3.0,0.015006815733528692,0.015713572704967864
4.0,4.0,0.015120389507935468,0.015656009163999215
5.0,5.0,0.014487616298169208,0.01563140739174208
6.0,6.0,0.014998062919911546,0.015634410429449217
7.0,7.0,0.015121216751097961,0.015653684467207874
8.0,8.0,0.016801256656104373,0.01620516793568053
9.0,9.0,0.015088772992955723,0.015659933823255225
10.0,10.0,0.022239210433352398,0.02024839632652044
11.0,11.0,0.015077102921002963,0.01564061060023288
12.0,12.0,0.015335015564672335,0.015655943208604816
13.0,13.0,0.018007773739124537,0.016766200465370047
14.0,14.0,0.013576704959254,0.015783890330126782
15.0,15.0,0.015288634082031483,0.015697010839533312
16.0,16.0,0.015476806946844704,0.015732274927584205
