parameter_index,parameter,log_loss_train,log_loss_validation
0.0,30.0,0.021574879238488137,0.020399636425943616
1.0,40.0,0.02043511697019461,0.01946748627839711
2.0,50.0,0.019413819174139698,0.018643090730847155
3.0,60.0,0.018724036596033725,0.01811834166143575
4.0,70.0,0.01810334356200482,0.017666389226951074
5.0,80.0,0.017684196779892362,0.017449079524809518
6.0,90.0,0.017257279805975762,0.01715521201400394
7.0,100.0,0.016914031260139257,0.016971727301627538
8.0,110.0,0.0166244822770235,0.016802533683456602
9.0,120.0,0.016282811375927974,0.016642050942952815
10.0,130.0,0.016005489767649924,0.016510565422188497
11.0,140.0,0.015734729292745015,0.016451845233446203
12.0,150.0,0.015523283126703548,0.01635532127498238
13.0,160.0,0.01531756114814006,0.016249094122296557
14.0,170.0,0.015092329095342125,0.016222105680416612
15.0,180.0,0.014813932598141271,0.016134836819293147
16.0,190.0,0.014612425905643198,0.01607315390930355
17.0,200.0,0.014378871941925962,0.015989303199552062
18.0,210.0,0.014245918029354394,0.015940492639740875
19.0,220.0,0.014015801777083559,0.015903018786591668
20.0,230.0,0.013870183231181422,0.0159006271968428
21.0,240.0,0.013642573610355332,0.01584453049123478
22.0,250.0,0.01346977112040692,0.01583937476495521
23.0,260.0,0.013318654510970578,0.01582672046121929
24.0,270.0,0.013110067545881062,0.0158325997372021
25.0,280.0,0.012967698909547557,0.01584474613894718
26.0,290.0,0.012742188405566051,0.015770058665703874
27.0,300.0,0.012592450083016198,0.01578317873367056
28.0,310.0,0.012473978913060528,0.015748502501348256
29.0,320.0,0.012291255097478582,0.01573721790288523
30.0,330.0,0.012069605702318074,0.015768795804845397
31.0,340.0,0.011961955842180922,0.015752744754415758
32.0,350.0,0.011741008077356013,0.01580589597500236
33.0,360.0,0.01159927075814509,0.015767372127878
34.0,370.0,0.011412986770856628,0.015786410635014743
35.0,380.0,0.011375673327892378,0.015828945402382295
36.0,390.0,0.01115930759645267,0.015865762078825184
37.0,400.0,0.010985690579214606,0.015868867902815418
