parameter_index,parameter,log_loss_train,log_loss_validation
0.0,300.0,0.014662014510967731,0.015685927184743074
1.0,310.0,0.014571693800020637,0.015563612015636562
2.0,320.0,0.01445213360391791,0.0156600567969946
3.0,330.0,0.014524693905738266,0.01568728301853179
4.0,340.0,0.014154073116013334,0.015607107747750294
5.0,350.0,0.014232547678829846,0.015630914275403546
6.0,360.0,0.014099988210819859,0.0157659502176176
7.0,370.0,0.01389709176028103,0.0157514908390693
8.0,380.0,0.013627639125660784,0.015796897167956056
9.0,390.0,0.013541860590019496,0.015804603129013696
10.0,400.0,0.013459516408258486,0.015832983965623933
