parameter,log_loss_train,log_loss_validation
2.0,0.016609934850275537,0.01687274958600225
3.0,0.013439104262885141,0.016127359848226278
4.0,0.011257039727890562,0.016003673522243016
5.0,0.009713468040752715,0.01599136380437685
6.0,0.008913261266097726,0.015990693411524173
7.0,0.008345230806642017,0.01601781459211359
8.0,0.007931551951147824,0.01605941525718513
9.0,0.007675559443814393,0.016069829636149592
10.0,0.007516474045189731,0.016083661527094322
11.0,0.007411454391001143,0.016074724782213518
12.0,0.007361096845081606,0.01608329138667203
13.0,0.007334749709210256,0.01608929666611889
14.0,0.007326068110181089,0.01609569185984038
15.0,0.00732313512536224,0.01608558830980524
