parameter,log_loss_train,log_loss_validation
0.015,0.010668811795155698,0.01626287401094799
0.01525,0.0105944033129414,0.01625020068367744
0.0155,0.010519868039942934,0.01623062123261134
0.01575,0.010447376877270292,0.01621951259388965
0.016,0.010383072860818273,0.016207241990991942
0.01625,0.010307812741208934,0.016201574630891252
0.0165,0.010241761682248295,0.016183675387354806
0.01675,0.010173332762093763,0.016175585866196683
0.017,0.010105706675019371,0.01616796062728207
0.01725,0.010043445500387884,0.016171071923116658
0.0175,0.009983152360957679,0.01616063795400037
0.01775,0.009914509081099813,0.016153412749229913
0.018,0.00985523759857176,0.01614620689626059
0.01825,0.00979319687659847,0.01613385062025405
0.0185,0.009734063555987757,0.016130513432927276
0.01875,0.009668849340375478,0.016127885159342333
0.019,0.009613099855392871,0.01613194030019416
0.01925,0.009559798074292495,0.01612142367382512
0.0195,0.009493926503362948,0.016106046762127683
0.01975,0.009440953835903723,0.016116249108916948
0.02,0.009378697425099721,0.01611158874826643
0.02025,0.009324733529215685,0.0161010494070282
0.0205,0.009270482709883385,0.016101233928425773
0.02075,0.009217238171938879,0.01609107891429096
0.021,0.009160315195107963,0.01609610061220784
0.02125,0.009110131691433073,0.016073688466273044
0.0215,0.009055615707135664,0.016055131556229292
0.02175,0.009000640360902016,0.016077619468439372
0.022,0.008950439477565962,0.01607123432033444
0.02225,0.008903674701161324,0.01606013220405294
0.0225,0.008851828831713747,0.016068488969100514
0.02275,0.008799894418845931,0.01605758256071271
0.023,0.00875066215401918,0.016054844758144674
0.02325,0.008707598235552352,0.0160563746086294
0.0235,0.00866628500334343,0.0160542484622559
0.02375,0.008610409077807092,0.016047833033342698
0.024,0.008567607406517536,0.0160469356156934
0.02425,0.008521298473707441,0.01604739666557899
0.0245,0.008467402526415516,0.016057850124039166
0.02475,0.008429643781325831,0.016050934175523602
0.025,0.008382338431234851,0.016055767908798063
0.02525,0.00834281377288452,0.016050069180754467
0.0255,0.008289421312772214,0.016038399274561778
0.02575,0.008249084226016631,0.01604865467585366
0.026,0.008211311887812612,0.01604840332328969
0.02625,0.008167635480677886,0.016046738464186982
0.0265,0.008125597088342405,0.01605445304221776
0.02675,0.008084361921653556,0.016049366867881144
0.027,0.008032008532686982,0.01605285656472494
0.02725,0.008003166227767951,0.016057284722841236
0.0275,0.007959740248796933,0.016045573944838968
0.02775,0.007923612226851154,0.016050209472768633
0.028,0.007885733209788918,0.016055693200015424
0.02825,0.007843316783211669,0.016059263322019363
0.0285,0.007810113960842725,0.016078489524792253
0.02875,0.007769903687718629,0.016048140458219978
0.029,0.007725448675182023,0.0160633956268773
0.02925,0.007691611010874037,0.016060849166107123
0.0295,0.007657320796809904,0.016067826223904333
0.02975,0.007617780790678039,0.016072471937936216
0.03,0.007581679761210069,0.016075687258538737
0.03025,0.007540456067511537,0.016081986822727223
0.0305,0.00750322414247492,0.01607993212223184
0.03075,0.007476784851213237,0.016066319712432463
0.031,0.007438248654696592,0.016064871702252115
0.03125,0.0074069578328171525,0.016077497764827992
0.0315,0.0073745287474554526,0.01606518543602323
0.03175,0.0073348142435006106,0.01607985573095183
0.032,0.007303405077593187,0.01608242657801851
0.03225,0.007267073037459081,0.016103191752064733
0.0325,0.007225468262925971,0.01611229191331807
0.03275,0.007202347331398032,0.016085331301645706
