parameter,log_loss_train,log_loss_validation
0.05,0.008262413548855761,0.016063818248156732
0.055,0.008262245962695342,0.01607147388611485
0.06,0.008271242907980344,0.01605430338496929
0.065,0.008269606938384265,0.016068589591317094
0.07,0.00827012603300146,0.016070484882600246
0.075,0.00827274867792381,0.016058713907449264
0.08,0.008278519511852558,0.016054491846005416
0.085,0.008282234624045192,0.016058344055293567
0.09,0.008284773554405024,0.016056716405790913
0.095,0.008287899809894203,0.016056879840712687
0.1,0.00829209846951981,0.01605695634651273
0.105,0.008287671652441687,0.016059595771553973
0.11,0.008289421312772214,0.016038399274561778
0.115,0.008301510739553215,0.0160324406668327
0.12,0.008300187960388904,0.01604393032234896
0.125,0.008304413029764056,0.016032267335448738
0.13,0.008303090123645492,0.016038019772851804
0.135,0.008306477095591845,0.016046017748459346
0.14,0.008317256951435193,0.016051596018429454
0.145,0.008318694606043918,0.016041105756672613
0.15,0.008320524839414572,0.01602409562729004
0.155,0.00832853387770529,0.016031660754164498
0.16,0.008333026356776577,0.016022131716416747
0.165,0.008339157885041576,0.01602378825996147
0.17,0.008338101858508553,0.016031622976820085
0.175,0.008339789057120173,0.01602964349093013
0.18,0.00834353394072744,0.016025117470314664
0.185,0.008345230806642017,0.016017814592113586
0.19,0.008350075661808199,0.016027311849107665
0.195,0.008351734545838848,0.016025694278960195
0.2,0.00835844412621184,0.016033683461846644
0.205,0.008362628030094398,0.016038871007035098
0.21,0.0083655243970931,0.016039261777249347
0.215,0.00837030032661818,0.016032911007737065
0.22,0.008371409132286695,0.016031025061981757
0.225,0.008377698102315326,0.016031542254154655
0.23,0.008378537970422774,0.01603176439523211
0.235,0.008386189460717262,0.016031668990083337
0.24,0.00838950344439937,0.01602065362947844
0.245,0.008392796818361404,0.016018989724977353
0.25,0.008401689984664165,0.016034492965990004
