parameter,log_loss_train,log_loss_validation
0.0,0.00943172999817566,0.01598475443644684
1.0,0.00943168031849783,0.016031491003727805
2.0,0.00943161923113838,0.016078291080642227
3.0,0.0094315347646358,0.01610214191245411
4.0,0.009431408918099649,0.01612653393554065
5.0,0.009431273966862415,0.016150804010791508
6.0,0.00943113026406273,0.016175236100799597
7.0,0.009430978152119095,0.01622423089826947
8.0,0.009430817883161562,0.016248843599398197
9.0,0.009430649483355672,0.016248688852211722
10.0,0.00943047260602045,0.016248526309639143
