parameter_index,parameter,log_loss_train,log_loss_validation
0.0,0.1,0.014319459314886512,0.015571215365777854
1.0,0.2,0.014376252313707365,0.015502229667139922
2.0,0.3,0.01437354528766662,0.01549753002009919
3.0,0.4,0.014383685183896938,0.015526041117652357
4.0,0.5,0.01431711319771839,0.015505228522930752
5.0,0.6,0.014079617739218418,0.015558091957560912
6.0,0.7,0.013949909592582908,0.01552877049203386
7.0,0.8,0.013840605149542693,0.015542927049060358
8.0,0.9,0.013703957300500747,0.015525198545843964
9.0,1.0,0.013879359794535275,0.015511162220252147
10.0,1.1,0.013635191166742479,0.015531076491987
11.0,1.2,0.013706886185770468,0.015561856927968085
12.0,1.3,0.013658722643119804,0.015510808364293005
