parameter_index,parameter,log_loss_train,log_loss_validation
0.0,0.1,0.015664735380589802,0.015756612968397594
1.0,0.2,0.015479367347090097,0.015743874298385915
2.0,0.3,0.01494030908369459,0.015572910524784177
3.0,0.4,0.014799752020670619,0.015513383098131467
4.0,0.5,0.014628063125778521,0.015563923470627091
5.0,0.6,0.014379227575373521,0.015600545771296215
6.0,0.7,0.014335812529098825,0.015547673194315378
7.0,0.8,0.014157931514641738,0.015522040186845583
8.0,0.9,0.013957971059454184,0.015532806045318585
9.0,1.0,0.013720200007374565,0.01560293308539819
