parameter_index,parameter,log_loss_train,log_loss_validation
0.0,270.0,0.0033032257903608747,0.003925973127640825
1.0,280.0,0.0032710783983248364,0.0039137541910692535
2.0,290.0,0.0032226702076730137,0.003910440785990262
3.0,300.0,0.0031823278346457613,0.003916417004876119
4.0,310.0,0.0031445055242314774,0.003922385275494953
5.0,320.0,0.0031076407099561785,0.0038885378636140683
6.0,330.0,0.0030478328546985917,0.003904040859151517
7.0,380.0,0.0028581188867151577,0.0039009928832265672
8.0,400.0,0.002767762835461615,0.003895979699005402
